State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy,Area 
Uttar Pradesh,"199,812,341",20.23%,"240,928",829,912,67.68,240928
Maharashtra,"112,374,333",15.99%,"307,713",365,929,82.34,307713
Bihar,"104,099,452",25.42%,"94,163","1,106",918,61.8,94163
West Bengal,"91,276,115",13.84%,"88,752","1,028",950,76.26,88752
Andhra Pradesh,"84,580,777",10.98%,"275,045",308,993,67.02,162968
Madhya Pradesh,"72,626,809",20.35%,"308,252",236,931,69.32,308252
Tamil Nadu,"72,147,030",15.61%,"130,060",555,996,80.09,130058
Rajasthan,"68,548,437",21.31%,"342,239",200,928,66.11,342239
Karnataka,"61,095,297",15.60%,"191,791",319,973,75.36,191791
Gujarat,"60,439,692",19.28%,"196,244",308,919,78.03,196024
Odisha,"41,974,218",14.05%,"155,707",270,979,72.87,155707
Kerala,"33,406,061",4.91%,"38,852",860,1084,94,38863
Jharkhand,"32,988,134",22.42%,"79,716",414,948,66.41,79714
Assam,"31,205,576",17.07%,"78,438",398,958,72.19,78438
Punjab,"27,743,338",13.89%,"50,362",551,895,75.84,50362
Chhattisgarh,"25,545,198",22.61%,"135,192",189,991,70.28,135191
Haryana,"25,351,462",19.90%,"44,212",573,879,75.55,44212
Delhi,"16,787,941",21.21%,"1,483","11,320",868,86.21,1490
Jammu and Kashmir,"12,541,302",23.64%,"222,236",56,889,67.16,42241
Uttarakhand,"10,086,292",18.81%,"53,483",189,963,78.82,53483
Himachal Pradesh,"6,864,602",12.94%,"55,673",123,972,82.8,55673
Tripura,"3,673,917",14.84%,"10,486",350,960,87.22,10486
Meghalaya,"2,966,889",27.95%,"22,429",132,989,74.43,22429
Manipur,"2,855,794",24.50%,"22,327",128,985,76.94,22327
Nagaland,"1,978,502",-0.58%,"16,579",119,931,79.55,16579
Goa,"1,458,545",8.23%,"3,702",394,973,88.7,3702
Arunachal Pradesh,"1,383,727",26.03%,"83,743",17,938,65.38,83743
Puducherry,"1,247,953",28.08%,490,"2,547",1037,85.85,492
Mizoram,"1,097,206",23.48%,"21,081",52,976,91.33,21081
Chandigarh,"1,055,450",17.19%,114,"9,258",818,86.05,114
Sikkim,"610,577",12.89%,"7,096",86,890,81.42,7096
Andaman and Nicobar Islands,"380,581",6.86%,"8,249",46,876,86.63,8249
Dadra and Nagar Haveli,"343,709",55.88%,491,700,774,76.24,491
Daman and Diu,"243,247",53.76%,111,"2,191",618,87.1,491
Lakshadweep,"64,473",6.30%,30,"2,149",946,91.85,32
India,"1,210,854,977",17.64%,"3,287,240",382,940,74.04,"3,287,263[a]"
